month,1,2,3,4,5,6,7,8,9,10,long_short,long,short
2023-06-30,0.031822693,0.032252684,0.026409933,0.033742882,0.03790214,0.048280172,0.053271487,0.051097523,0.06560962,0.07462791,0.04280522,0.07462791,0.031822693
2023-07-31,-0.08160828,-0.03415995,-0.023698276,-0.025542853,-0.030595826,-0.032793235,-0.04020507,-0.046917696,-0.065736614,-0.12378269,-0.042174406,-0.12378269,-0.08160828
2023-08-31,-0.06670777,-0.03598917,-0.03159882,-0.04305593,-0.047612432,-0.042109292,-0.04958565,-0.054535255,-0.06376286,-0.102519326,-0.03581156,-0.102519326,-0.06670777
2023-09-30,-0.10254218,-0.034057666,-0.029635323,-0.034075357,-0.040029272,-0.042467218,-0.05197515,-0.059500154,-0.08721445,-0.10615212,-0.0036099404,-0.10615212,-0.10254218
2023-10-31,0.06451956,0.040212277,0.052993987,0.071777515,0.08052027,0.09391249,0.103033714,0.09009675,0.09983687,0.11429442,0.049774855,0.11429442,0.06451956
2023-11-30,0.11508685,0.04398561,0.04262458,0.054161984,0.07412291,0.075644724,0.08733781,0.108210556,0.12680975,0.12138223,0.0062953755,0.12138223,0.11508685
2023-12-31,-0.023599835,-0.014140511,-0.00065693713,0.0008827418,-0.0128788315,-0.022184184,-0.028836243,-0.041253917,-0.03852862,-0.055281825,-0.031681992,-0.055281825,-0.023599835
2024-01-31,0.06572718,0.030406008,0.019148538,0.022371262,0.029268052,0.031947035,0.0383042,0.035063572,0.044129334,0.08941568,0.023688495,0.08941568,0.06572718
2024-02-29,0.0145919025,0.030011559,0.027122695,0.028706724,0.033097405,0.033239342,0.03929653,0.04179975,0.037768856,0.0048448066,-0.009747095,0.0048448066,0.0145919025
2024-03-31,-0.07406046,-0.037357084,-0.02635449,-0.028846772,-0.037444282,-0.04437659,-0.04760345,-0.053704254,-0.05814822,-0.08287912,-0.008818656,-0.08287912,-0.07406046
2024-04-30,0.019080367,0.030090025,0.026616294,0.033163004,0.041574698,0.03762579,0.0404862,0.045403037,0.047223393,0.08929754,0.07021718,0.08929754,0.019080367
2024-05-31,-0.023883484,-0.007899237,-0.00062269426,-0.00071683375,0.007631502,-0.0055425838,-0.016418962,-0.013818129,-0.03073884,-0.07624286,-0.052359372,-0.07624286,-0.023883484
2024-06-30,0.018668182,0.023178358,0.03046738,0.032638382,0.041828755,0.048666343,0.06770318,0.084521115,0.08190179,0.06239734,0.043729156,0.06239734,0.018668182
2024-07-31,-0.042831793,0.00030548574,0.012657476,0.015832877,0.01935024,0.0031929866,-0.0063447105,-0.013867478,-0.020616338,-0.053435955,-0.010604162,-0.053435955,-0.042831793
2024-08-31,-0.012752015,0.009046211,0.015556248,0.015940765,0.017998949,0.022272596,0.01680154,0.013124089,0.037147675,0.041668575,0.05442059,0.041668575,-0.012752015
2024-09-30,0.009924623,0.00072496955,-0.007901828,-0.013689247,-0.021324873,-0.016281774,-0.015436865,-0.013256989,-0.0074072396,0.034942664,0.02501804,0.034942664,0.009924623
2024-10-31,0.037301395,0.0719643,0.040504765,0.039254352,0.056265693,0.06525595,0.07172705,0.0882534,0.07811705,0.08529133,0.04798994,0.08529133,0.037301395
2024-11-30,-0.025559332,-0.009168518,-0.013716137,-0.032986082,-0.04568592,-0.050523195,-0.04382133,-0.043431565,-0.030222844,0.060160663,0.085719995,0.060160663,-0.025559332
